Date, Ticker, Open, High, Low, Close, Volume
20090821,ZMH,46.97,47.75,46.82,47.24,20925
20090824,ZMH,48.44,49,47.86,47.96,21776
20090825,ZMH,47.95,48.59,47.61,48.14,23235
20090826,ZMH,47.89,48.96,47.82,48.55,20250
20090827,ZMH,48.48,48.64,47.8,48.56,15259
20090828,ZMH,48.73,48.78,47.23,47.96,15019
20090831,ZMH,47.77,48.1,46.99,47.35,17740
20090901,ZMH,47.14,47.63,46.28,46.6,22692
20090902,ZMH,46.39,46.61,46.01,46.24,18075
20090903,ZMH,46.5,47.5,46.18,47.44,25385
20090904,ZMH,47.33,49.94,47.2,49.11,52712
20090909,ZMH,48.82,50.4,48.82,49.55,24502
20090910,ZMH,49.77,49.96,49.11,49.96,11564
20090911,ZMH,49.92,51.03,49.74,50.59,25496
20090914,ZMH,50.58,50.65,49.83,50.62,12964
20090915,ZMH,50.615,51.17,50.16,50.89,18855
20090916,ZMH,50.89,51.28,50.68,51.26,16203
20090917,ZMH,51.07,51.342,50.38,50.7,19480
20090918,ZMH,50.73,51.26,50.51,51.12,18668
20090921,ZMH,51.55,53.7,51.45,52.68,30306
20090922,ZMH,52.67,53.04,52.17,52.43,25050
20090923,ZMH,52.58,53.195,51.9524,52.83,32596
20090924,ZMH,52.82,52.87,51.96,52.11,36964
20090925,ZMH,52.22,53.48,52.08,52.92,41161
20090928,ZMH,53.04,54.55,53.01,53.91,28476
20090929,ZMH,53.86,54,53.18,53.6,39062
20090930,ZMH,54.99,55.25,53.21,53.45,34637
20091001,ZMH,53.4,53.46,52.75,52.75,34574
20091002,ZMH,52.39,52.44,51.46,51.5,44754
20091005,ZMH,51.39,52.6,51.27,52.45,22554
20091006,ZMH,50.61,51.52,49.14,51.45,45144
20091007,ZMH,51.24,51.71,51.2,51.6,22857
20091008,ZMH,51.82,52.47,51.66,52,40923
20091009,ZMH,51.1,52.48,50.61,52.38,24517
20091012,ZMH,52.38,52.55,52.18,52.49,13188
20091013,ZMH,52.52,52.66,52.04,52.23,18716
20091014,ZMH,52.42,52.59,51.44,52.04,26764
20091015,ZMH,51.86,52.35,51.76,52.14,12905
20091016,ZMH,51.89,52.49,51.49,51.92,22012
